team,name,year_clean,position_clean,height_clean,hometown_clean,hs_clean,division,conference
Bowie St.,Seanice Lyons,Junior,GUARD,"5'6""","UPPER MARLBORO, MD",Dr. Henry A. Wise HS,II,CIAA
Bowie St.,Mia Smith,Freshman,GUARD,"5'8""","CLARKSBURG, MD",Clarksburg HS,II,CIAA
Bowie St.,Anii Harris,Sophomore,GUARD,"5'7""","ELLICOTT CITY, MD",Howard HS,II,CIAA
Bowie St.,Jazmyne Scott,Graduate Student,GUARD,"5'7""","BROOKLYN, MD",North County HS,II,CIAA
Bowie St.,Beulah Odiong,Freshman,FORWARD,"6'0""","BOWIE, MD",Charles H. Flowers HS,II,CIAA
Bowie St.,Tsion Smith,Freshman,GUARD,"5'8""","BALTIMORE, MD",Our Lady Of Mount Carmel HS,II,CIAA
Bowie St.,Andria Gadson,Sophomore,GUARD,"5'1""","BOWIE, MD",TPLS Christian Academy,II,CIAA
Bowie St.,Kaitlyn Weaver-Adams,Freshman,CENTER,"6'1""","BALTIMORE, MD",St. Frances Academy,II,CIAA
Bowie St.,Robyn Howard,Junior,GUARD,"5'7""","TEMPLE HILLS, MD",National Christian Academy,II,CIAA
Bowie St.,Khalia Turner,Freshman,GUARD,"5'7""","BALTIMORE, MD",St. Frances Academy,II,CIAA
Bowie St.,Saniha Jackson,Sophomore,FORWARD,"5'10""","ELLICOTT CITY, MD",River Hill HS,II,CIAA
Bowie St.,Katerra Myers,Freshman,FORWARD,"5'8""","BURTONSVILLE, MD",Paint Branch HS,II,CIAA
Bowie St.,Shanysse Alexander,Sophomore,FORWARD/CENTER,"6'0""","MIDDLE RIVER, MD",Our Lady Of Mount Carmel HS,II,CIAA
Bowie St.,Abigail Bailey,Sophomore,FORWARD,"6'2""","LAUREL, MD",New Hope Academy,II,CIAA
Thiel,Destiny Johnson,Senior,FORWARD,"5'9""","BALTIMORE, MD",Western,III,PAC
Thiel,Madison Liggett,Junior,GUARD,"5'6""","BALTIMORE, MD",Catholic,III,PAC
Trinity (CT),Maya Carnes,Freshman,GUARD,"5'5""","BALTIMORE, MD",Friends,III,NESCAC
Trinity (CT),Bria Fuller,Senior,GUARD,"5'7""","SPRINGDALE, MD",Academy of the Holy Cross,III,NESCAC
Coast Guard,Farrah Peterein,Freshman,GUARD/FORWARD,5-11,"CROFTON, MD",Archbishop Spalding,III,NEWMAC
Coast Guard,Alex Herron,Sophomore,FORWARD,5-11,"ST LEONARD, MD",Calvert,III,NEWMAC
Union (NY),Kennedy Clark,Junior,GUARD,"5'5""","CLARKSVILLE, MD",River Hill,III,Liberty League
Vassar,Ashley Mostrom,Sophomore,GUARD,"5'8""","GERMANTOWN, MD",Northwest,III,Liberty League
Va. Wesleyan,Sydnee Washington,Freshman,GUARD,"5'5""","BOWIE, MD",Archbishop Spalding,III,ODAC
Wagner,Alex Cowan,Junior,GUARD,"5'7""","BOWIE, MD",St. John's College High School,I,NEC
Wagner,Rakisha Ballinger,Sophomore,GUARD,"5'8""","HYATTSVILLE, MD",Emerge Christian Academy,I,NEC
Wagner,Marisa Sanchez-Henry,Junior,GUARD,"5'6""","ELLICOT CITY, MD",Howard High School,I,NEC
Widener,Mary Tolentino,Junior,GUARD,"5'4""","WHITE MARSH, MD",Perry Hall,III,MAC Freedom
Wittenberg,Jazmyn Gaines-Burns,Sophomore,GUARD,5-6,"BLADENSBURG, MD",Elizabeth Seton,III,NCAC
Wooster,Paige Wells,Senior,GUARD,5-3,"ANNAPOLIS, MD",Indian Creek,III,NCAC
Hood,Kaela Mitchell,Freshman,GUARD,"5'3""","SALISBURY, MD",Delmarva Christian,III,MAC Commonwealth
Hood,Na'Vaye Quarles,Freshman,GUARD,"5'4""","GLEN BURNIE, MD",North County,III,MAC Commonwealth
Hood,Tiffany Manning,Junior,GUARD,"5'5""","RANDALLSTOWN, MD",Western Tech,III,MAC Commonwealth
Hood,Libby Kiley,Freshman,GUARD,"5'8""","TANEYTOWN, MD",Springdale Prep,III,MAC Commonwealth
Hood,Tam Stanford,Sophomore,GUARD,"5'5""","BALTIMORE, MD",Our Lady of Mount Carmel,III,MAC Commonwealth
Hood,Olivia Frye,Freshman,GUARD/FORWARD,"5'8""","CLEAR SPRING, MD",Williamsport,III,MAC Commonwealth
Hood,Makayla Pugh,Sophomore,GUARD,"5'4""","ACCOKEEK, MD",Gwynn Park,III,MAC Commonwealth
Hood,Demiah Austin,Freshman,GUARD,"5'6""","GLEN BURNIE, MD",Glen Burnie,III,MAC Commonwealth
Hood,Kayla Watkins-Harvey,Senior,CENTER,"6'2""","LARGO, MD",Largo,III,MAC Commonwealth
Hood,Philippa Clouse,Senior,FORWARD,"6'3""","OLNEY, MD",Sandy Spring Friends,III,MAC Commonwealth
Georgian Court,Tian Addison,Senior,GUARD,"5'5""","BALTIMORE, MD",Elizabeth Seton,II,CACC
Georgian Court,Savawn Hughes,Senior,GUARD,"5'7""","BALTIMORE, MD",St. Frances Academy,II,CACC
Georgian Court,Janai Brown,Senior,FORWARD,"5'9""","CLINTON, MD",Rock Creek Christian Academy,II,CACC
Alderson Broaddus,Nyshae' Weaver,Sophomore,FORWARD,"5'10""","BALTIMORE, MD",Coppin Academy,II,MEC
Alderson Broaddus,Cassandra Smith,Sophomore,GUARD,"6'0""","ABERDEEN, MD",Aberdeen HS,II,MEC
Alvernia,Tyra Robinson,Junior,GUARD,"5'7""","BALTIMORE, MD",Pikesville,III,MAC Commonwealth
Alvernia,Nicole Etchison,Sophomore,GUARD,"5'6""","IJAMSVILLE, MD",Oakdale,III,MAC Commonwealth
Alvernia,Meghan Ruth,Freshman,FORWARD,"5'10""","WESTMINSTER, MD",John Carroll School,III,MAC Commonwealth
West Va. Wesleyan,Akalah Jackson,Freshman,GUARD,"5'8""","UPPER MARLBORO, MD",Elizabeth Seton,II,MEC
West Va. Wesleyan,Caitlyn Sullivan,Freshman,GUARD,"5'8""","CLINTON, MD",Suitland,II,MEC
West Va. Wesleyan,Ariana Harmon,Sophomore,GUARD,"5'7""","GAMBRILLS, MD",Arundel,II,MEC
West Va. Wesleyan,Jabria Bruce,Sophomore,FORWARD,"5'8""","LAUREL, MD",Paint Branch,II,MEC
Embry-Riddle (FL),Laurie Satchell,Freshman,FORWARD,"5'10""","ELKRIDGE, MD",St. Paul's School for Girls,II,Sunshine State
Valley Forge,Mariah Matthews,Junior,GUARD,"5'6""","BALTIMORE, MD",Northwest Rankin High School,III,CSAC
Kentucky,Eniya Russell,Junior,GUARD,6-1,"BALTIMORE, MD",Saint Vincent Palotti,I,SEC
Kentucky,Ajae Petty,Junior,FORWARD,6-3,"BALTIMORE, MD",Baltimore Polytechnic Institute,I,SEC
Hartford,Zaiha Minnis,Freshman,GUARD/FORWARD,"5'10""","CLINTON, MD",Maret School,I,DI Independent
George Mason,Sonia Smith,Senior,GUARD,"5' 7""","UPPER MARLBORO, MD",National Christian Academy,I,Atlantic 10
George Mason,Nekhu Mitchell,Freshman,FORWARD,"6' 0""","BALTIMORE, MD",McDonogh,I,Atlantic 10
Georgia,Chloe Chapman,Senior,GUARD,5-7,"MITCHELLVILLE, MD",Our Lady of Good Counsel,I,SEC
LSU,Angel Reese,Sophomore,FORWARD,6-3,"BALTIMORE, MD",St. Frances Academy,I,SEC
Virginia,Yonta Vaughn,Freshman,GUARD,5-8,"DISTRICT HEIGHTS, MD",Bishop McNamara High School,I,ACC
Virginia,Mir McLean,Junior,GUARD/FORWARD,5-11,"BALTIMORE, MD",Roland Park Country School,I,ACC
Utah St.,Isabella Tañedo,Freshman,GUARD,"5' 5""","LAUREL, MARYLAND",St. John's College HS,I,Mountain West
Utah St.,Lillian Harris,Sophomore,FORWARD,"6' 2""","WESTMINSTER, MARYLAND",Westminster HS,I,Mountain West
Western Ky.,Aaliyah Pitts,Junior,GUARD,6-0,"SUITLAND, MD",Bishop McNamara HS,I,C-USA
Assumption,Ja'Lyn Armstrong,Graduate Student,GUARD,5-7,"BALTIMORE, MD",Institute of Notre Dame,II,NE10
Dickinson,Irene Haramis,Freshman,GUARD,5-9,"POTOMAC, MD",Winston Churchill,III,Centennial
Dickinson,Indatou Ali-Goukoye,Sophomore,FORWARD,5-11,"FREDERICK, MD",Walkersville,III,Centennial
Dist. Columbia,Kensley Benjamin,Sophomore,GUARD,5'9,"CALVERT COUNTY, MD",Calvert HS,II,ECC
Dist. Columbia,Destiny Ryles,Sophomore,GUARD,5'3,"WINDSOR MILL, MD",St. Paul's School for Girls,II,ECC
Dist. Columbia,Latavia Jackson,Junior,GUARD,5'7,"WALDORF, MD",North Point H.S.,II,ECC
Dist. Columbia,Laaila Dodo,Sophomore,NA,6'2,"HYATTSVILLE, MD",Bladensburg H.S.,II,ECC
Dist. Columbia,Shanell Haskins,Sophomore,GUARD,5'8,"BOWIE, MD",Capital Christian Academy,II,ECC
Alliance,Janiya Burton,Freshman,GUARD,5-8,"BALTIMORE, MD",New Town HS,II,CACC
Marymount (VA),Terra Dzambo,Junior,GUARD,5-9,"GLEN BERNIE, MD",Archbishop Spalding,III,Atlantic East
Marymount (VA),Kelly Ceroll,Sophomore,FORWARD,6-0,"OWINGS MILLS, MD",Franklin High School,III,Atlantic East
Salisbury,Nadia Bullock,Freshman,GUARD,5-8,"BERLIN, MD",Stephen Decatur,III,C2C
Salisbury,Emma Wivell,Freshman,GUARD/FORWARD,5-9,"ROCKY RIDGE, MD",Catoctin,III,C2C
Salisbury,Kayla Nieberlein,Freshman,FORWARD,5-11,"SPARKS, MD",Hereford,III,C2C
Salisbury,Kolby Brown,Senior,GUARD,5-9,"WESTMINSTER, MD",Winters Mill,III,C2C
Salisbury,Ashlynn Burrows,Junior,GUARD/FORWARD,5-9,"EDGEWATER, MD",South River,III,C2C
Salisbury,Alex Bull,Sophomore,GUARD/FORWARD,5-10,"ELDERSBURG, MD",Liberty,III,C2C
TCNJ,Jordyn Herwood,Junior,GUARD,5-6,"GERMANTOWN, MD",Northwest,III,NJAC
Ursinus,Lily Baeurle,Freshman,GUARD,5-7,"BERLIN, MD",Worcester Prep,III,Centennial
Ursinus,Chinwe Irondi,Sophomore,FORWARD,6-0,"WALDORF, MD",St. Mary's Ryken,III,Centennial
Washington Col.,Rachel Thiem,Junior,FORWARD,5-10,"SYKESVILLE, MD",Liberty,III,Centennial
Washington Col.,Joy Sanders,Senior,GUARD,5-8,"BALTIMORE, MD",Cristo Rey Jesuit,III,Centennial
Washington Col.,Kiersten Rose,Sophomore,FORWARD,5-11,"UPPER MARLBORO, MD",Dr. Henry A. Wise Jr.,III,Centennial
Washington Col.,Karry Kelliher,Sophomore,GUARD,5-10,"SEVERNA PARK, MD",St. Mary's,III,Centennial
Washington Col.,Kadija Tholley,Junior,CENTER,6-0,"RIVERDALE, MD",Eleanor Roosevelt,III,Centennial
Washington Col.,Bryson Ostrum,Freshman,GUARD,5-9,"FAIRPLAY, MD",Williamsport,III,Centennial
Washington Col.,Alyssa Hawes,Junior,GUARD/FORWARD,5-9,"BALTIMORE, MD",Our Lady of Mount Carmel,III,Centennial
WashU,Nailah McBeth,Freshman,FORWARD,5-11,"GERMANTOWN, MD",Georgetown Visitation Preparatory School,III,UAA
McDaniel,Justeen Cooley,Junior,GUARD,5-4,"KEYMAR, MD",Walkersville,III,Centennial
McDaniel,Jordan McLean,Freshman,GUARD,5-4,"BALTIMORE, MD",Poly,III,Centennial
McDaniel,Bri Floyd,Freshman,GUARD,5-8,"COLUMBIA, MD",Wilde Lake,III,Centennial
McDaniel,Josey Klingenberg,Senior,GUARD,5-1,"HAMPSTEAD, MD",Manchester Valley,III,Centennial
McDaniel,Lily Hines,Freshman,GUARD/FORWARD,5-9,"NOTTINGHAM, MD",Perry Hall,III,Centennial
McDaniel,Meggie Burgess,Graduate Student,FORWARD,6-1,"OLNEY, MD",Good Counsel,III,Centennial
McDaniel,Mallory Conroy,Senior,FORWARD,5-11,"ELLICOTT CITY, MD",Marriotts Ridge,III,Centennial
York (PA),Tori Geitner,Senior,GUARD,5-5,"FREDERICK, MD",Saint John's Catholic Prep,III,MAC Commonwealth
York (PA),Bailey Springer,Junior,FORWARD,5-9,"FOREST HILL, MD",Bel Air,III,MAC Commonwealth
York (PA),Maddi Haggerty,Freshman,FORWARD,5-11,"SYKESVILLE, MD",Liberty,III,MAC Commonwealth
Stevenson,Morgan Pennick,Senior,GUARD,5-3,"RANDALLSTOWN, MD",Archbishop Spalding,III,MAC Commonwealth
Stevenson,Kalea Wynter,Freshman,FORWARD,5-10,"HYATTSVILLE, MD",Elizabeth Seton,III,MAC Commonwealth
Stevenson,Stephenae Lawrence,Sophomore,FORWARD,6-0,"BALTIMORE, MD",Concordia Prep,III,MAC Commonwealth
Stevenson,Aysia Ferguson,Senior,GUARD,5-5,"CATONSVILLE, MD",Catonsvile,III,MAC Commonwealth
Stevenson,Morgan DeBeary,Senior,FORWARD,5-8,"ANNAPOLIS, MD",Annapolis Area Christian,III,MAC Commonwealth
Stevenson,Destiny Towns,Freshman,FORWARD,5-11,"ST MARY'S, MD",St. Mary's Ryken,III,MAC Commonwealth
Stevenson,Ellie Boswell,Senior,FORWARD,5-8,"HAMPSTEAD, MD",Manchester Valley,III,MAC Commonwealth
Stevenson,Emori Jeselskis,Sophomore,GUARD,5-7,"BALTIMORE, MD",Rosedale Baptist,III,MAC Commonwealth
Stevenson,Erin Dixon,Freshman,GUARD,5-8,"ELLICOTT CITY, MD",Mt. Hebron,III,MAC Commonwealth
Stevenson,Maleah Smith,Senior,FORWARD,5-8,"HUNTINGTOWN, MD",Huntingtown,III,MAC Commonwealth
Stevenson,Aliyah Jean-Jacques,Freshman,FORWARD,5-11,"HAGERSTOWN, MD",St. Maria Goretti,III,MAC Commonwealth
Stevenson,Tessa Boswell,Freshman,FORWARD,5-11,"HAMPSTEAD, MD",John Carroll,III,MAC Commonwealth
Bluefield St.,Zaynah Robinson,Sophomore,GUARD,"5'4""","SEVERN, MD",Fort Meade,II,DII Independent
